first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
Ben,Simmons,PHI,2018,79.0,34:09:00,6.84,12.15,0.0,0.08,3.25,5.42,2.18,6.65,8.82,7.72,1.42,0.77,3.47,2.65,16.92,0.5629629629629629,0.0,0.5996309963099631
Karl-Anthony,Towns,MIN,2018,77.0,33:03:00,8.84,17.06,1.84,4.61,4.88,5.84,3.42,8.97,12.39,3.36,0.87,1.62,3.12,3.79,24.42,0.5181711606096132,0.39913232104121477,0.8356164383561644
LaMarcus,Aldridge,SAS,2018,81.0,33:10:00,8.44,16.28,0.12,0.52,4.31,5.09,3.1,6.09,9.19,2.4,0.53,1.32,1.78,2.21,21.32,0.5184275184275183,0.23076923076923075,0.8467583497053045
Dwyane,Wade,MIA,2018,72.0,26:09:00,5.78,13.33,1.19,3.63,2.29,3.24,0.96,3.0,3.96,4.18,0.82,0.53,2.31,1.64,15.04,0.43360840210052515,0.3278236914600551,0.70679012345679
Anthony,Davis,NOP,2018,56.0,33:02:00,9.46,18.32,0.86,2.59,6.14,7.73,3.11,8.89,12.0,3.89,1.57,2.41,2.0,2.36,25.93,0.5163755458515285,0.33204633204633205,0.7943078913324708
Stephen,Curry,GSW,2018,69.0,33:44:00,9.16,19.42,5.13,11.74,3.81,4.16,0.65,4.7,5.35,5.23,1.33,0.36,2.78,2.41,27.26,0.4716786817713697,0.43696763202725725,0.9158653846153846
Giannis,Antetokounmpo,MIL,2018,72.0,32:46:00,10.01,17.32,0.72,2.82,6.94,9.53,2.21,10.26,12.47,5.89,1.28,1.53,3.72,3.22,27.69,0.5779445727482678,0.2553191489361702,0.7282266526757608
Paul,George,OKC,2018,77.0,36:54:00,9.18,20.96,3.79,9.83,5.88,7.01,1.36,6.79,8.16,4.13,2.21,0.44,2.66,2.78,28.04,0.4379770992366412,0.38555442522889116,0.8388017118402282
Joel,Embiid,PHI,2018,64.0,33:39:00,9.06,18.73,1.23,4.11,8.16,10.14,2.5,11.11,13.61,3.66,0.72,1.91,3.53,3.3,27.52,0.4837159636946076,0.2992700729927007,0.8047337278106509
Kemba,Walker,CHO,2018,82.0,34:55:00,8.91,20.54,3.17,8.91,4.63,5.49,0.63,3.77,4.4,5.9,1.24,0.41,2.57,1.6,25.63,0.4337877312560857,0.3557800224466891,0.843351548269581
